Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
11.57,TraderOne,Tick,111,50,61,-61,147300,147000,1598,31502,43702,OK
12.03,TraderOne,Tick,111,60,51,-61,147400,147200,1451,1504649,42849,OK
12.19,TraderOne,Tick,111,60,51,-51,147400,147200,1451,33649,43849,OK
12.5,TraderOne,Tick,111,60,51,-51,147400,147200,1451,33649,43849,OK
12.82,TraderOne,Tick,111,60,51,-51,147400,147200,1451,33649,43849,OK
12.97,TraderOne,Tick,111,60,51,-51,147400,147200,1451,33649,43849,OK
13.13,TraderOne,Tick,111,60,51,-51,147400,147200,1451,33649,43849,OK
13.44,TraderOne,Tick,121,60,61,-61,146700,147200,1304,35796,23596,OK
13.75,TraderOne,Tick,121,60,61,-61,146700,147200,1304,35796,23596,OK
13.91,TraderOne,Tick,121,60,61,-61,146700,147200,1304,35796,23596,OK
14.38,TraderOne,Tick,121,60,61,-61,146700,147200,1304,35796,23596,OK
14.53,TraderOne,Tick,121,60,61,-61,146700,147200,1304,35796,23596,OK
14.69,TraderOne,Tick,121,60,61,-61,146700,147200,1304,35796,23596,OK
14.85,TraderOne,Tick,121,60,61,-61,146700,147200,1304,35796,23596,OK
15.16,TraderOne,Tick,121,60,61,-61,146700,147200,1304,35796,23596,OK
15.63,TraderOne,Tick,121,60,61,-61,146900,146800,1304,35796,41896,OK
15.63,TraderOne,Tick,121,60,61,-61,146900,146800,1304,35796,41896,OK
16.1,TraderOne,Tick,121,60,61,-61,146900,146900,1304,35796,35796,OK
16.25,TraderOne,Tick,121,60,61,-61,146900,146900,1304,35796,35796,OK
16.41,TraderOne,Tick,121,60,61,-61,146900,146900,1304,35796,35796,OK
16.72,TraderOne,Tick,121,60,61,-61,146900,146900,1304,35796,35796,OK
16.88,TraderOne,Tick,121,60,61,-61,146900,146900,1304,35796,35796,OK
17.19,TraderOne,Tick,121,60,61,-61,146900,146900,1304,35796,35796,OK
17.35,TraderOne,Tick,121,60,61,-61,146900,146900,1304,35796,35796,OK
17.66,TraderOne,Tick,121,60,61,-61,146900,146900,1304,35796,35796,OK
17.97,TraderOne,Tick,121,60,61,-61,146600,146900,1304,35796,23596,OK
18.13,TraderOne,Tick,121,60,61,-61,146600,146900,1304,35796,23596,OK
18.6,TraderOne,Tick,121,60,61,-61,146600,147100,1304,35796,23596,OK
18.75,TraderOne,Tick,121,60,61,-61,146600,147100,1304,35796,23596,OK
19.07,TraderOne,Tick,121,60,61,-61,146600,147100,1304,35796,23596,OK
19.22,TraderOne,Tick,121,60,61,-61,146600,147100,1304,35796,23596,OK
19.38,TraderOne,Tick,121,60,61,-61,146600,147100,1304,35796,23596,OK
19.69,TraderOne,Tick,121,60,61,-61,146600,147200,1304,35796,23596,OK
20.16,TraderOne,Tick,121,60,61,-61,146600,147200,1304,35796,23596,OK
20.16,TraderOne,Tick,121,60,61,-61,146600,147200,1304,35796,23596,OK
20.32,TraderOne,Tick,121,60,61,-61,146900,147200,1304,35796,23596,OK
20.78,TraderOne,Tick,131,70,61,-71,147500,147900,1450,1514650,23450,OK
21.25,TraderOne,Tick,131,70,61,-61,147500,147900,1450,35650,23450,OK
21.41,TraderOne,Tick,131,70,61,-61,147500,147900,1450,35650,23450,OK
21.57,TraderOne,Tick,131,70,61,-61,147500,147900,1450,35650,23450,OK
22.03,TraderOne,Tick,131,70,61,-61,147500,147900,1450,35650,23450,OK
22.35,TraderOne,Tick,131,70,61,-61,147500,148000,1450,35650,23450,OK
22.66,TraderOne,Tick,141,70,71,-71,147700,148100,1745,39355,25155,OK
22.66,TraderOne,Tick,141,70,71,-71,147700,148100,1745,39355,25155,OK
23.13,TraderOne,Tick,161,70,91,-91,147700,148000,2335,46765,28565,OK
23.13,TraderOne,Tick,161,70,91,-91,147700,148000,2335,46765,28565,OK
23.6,TraderOne,Tick,161,70,91,-91,147700,147700,2335,46765,46765,OK
23.6,TraderOne,Tick,161,70,91,-91,147700,147700,2335,46765,46765,OK
23.91,TraderOne,Tick,161,70,91,-91,147600,147700,2335,46765,37665,OK
24.22,TraderOne,Tick,161,70,91,-91,147600,147700,2335,46765,37665,OK
24.69,TraderOne,Tick,161,70,91,-91,147400,147700,2335,46765,28565,OK
24.69,TraderOne,Tick,161,70,91,-91,147400,147700,2335,46765,28565,OK
25.16,TraderOne,Tick,161,70,91,-91,147400,148100,2335,46765,28565,OK
25.16,TraderOne,Tick,161,70,91,-91,147400,148200,2335,46765,28565,OK
25.78,TraderOne,Tick,161,70,91,-91,147700,147900,2335,46765,28565,OK
25.94,TraderOne,Tick,161,70,91,-91,147700,147900,2335,46765,28565,OK
26.1,TraderOne,Tick,161,70,91,-91,147700,147900,2335,46765,28565,OK
26.57,TraderOne,Tick,161,70,91,-91,147400,147900,2335,46765,28565,OK
26.72,TraderOne,Tick,161,70,91,-91,147400,147900,2335,46765,28565,OK
26.88,TraderOne,Tick,161,70,91,-91,147400,147900,2335,46765,28565,OK
27.19,TraderOne,Tick,161,70,91,-91,147400,147900,2335,46765,28565,OK
27.5,TraderOne,Tick,161,70,91,-91,147400,147900,2335,46765,28565,OK
27.66,TraderOne,Tick,161,70,91,-91,147400,147900,2335,46765,28565,OK
27.97,TraderOne,Tick,161,70,91,-91,147200,147800,2335,46765,28565,OK
28.44,TraderOne,Tick,161,70,91,-91,147700,147800,2335,46765,37665,OK
28.44,TraderOne,Tick,161,70,91,-91,147700,147800,2335,46765,37665,OK
28.6,TraderOne,Tick,161,70,91,-91,147700,147800,2335,46765,37665,OK
28.91,TraderOne,Tick,161,70,91,-91,147700,147600,2335,46765,55865,OK
29.22,TraderOne,Tick,161,70,91,-91,147700,147600,2335,46765,55865,OK
29.38,TraderOne,Tick,161,70,91,-91,147700,147600,2335,46765,55865,OK
29.69,TraderOne,Tick,161,70,91,-91,147700,147600,2335,46765,55865,OK
29.85,TraderOne,Tick,161,70,91,-91,147700,147600,2335,46765,55865,OK
30.16,TraderOne,Tick,161,70,91,-91,147700,147600,2335,46765,55865,OK
30.47,TraderOne,Tick,161,70,91,-91,147700,147600,2335,46765,55865,OK
30.63,TraderOne,Tick,161,70,91,-91,147700,147600,2335,46765,55865,OK
30.94,TraderOne,Tick,161,70,91,-91,147700,147400,2335,46765,64965,OK
31.25,TraderOne,Tick,161,70,91,-91,147700,147400,2335,46765,64965,OK
31.57,TraderOne,Tick,161,70,91,-91,147000,147400,2335,46765,28565,OK
31.88,TraderOne,Tick,161,70,91,-91,147000,147400,2335,46765,28565,OK
31.88,TraderOne,Tick,161,70,91,-91,147000,147400,2335,46765,28565,OK
32.19,TraderOne,Tick,161,70,91,-91,147000,147400,2335,46765,28565,OK
32.35,TraderOne,Tick,161,70,91,-91,147000,147400,2335,46765,28565,OK
32.66,TraderOne,Tick,161,70,91,-91,147000,147400,2335,46765,28565,OK
32.97,TraderOne,Tick,161,70,91,-91,147000,147600,2335,46765,28565,OK
33.13,TraderOne,Tick,161,70,91,-91,147000,147600,2335,46765,28565,OK
33.6,TraderOne,Tick,161,70,91,-91,147000,147600,2335,46765,28565,OK
33.6,TraderOne,Tick,161,70,91,-91,147000,147600,2335,46765,28565,OK
33.91,TraderOne,Tick,161,70,91,-91,146900,147600,2335,46765,28565,OK
34.22,TraderOne,Tick,161,70,91,-91,146900,147200,2335,46765,28565,OK
34.53,TraderOne,Tick,161,70,91,-91,146900,147200,2335,46765,28565,OK
34.69,TraderOne,Tick,161,70,91,-91,146900,147200,2335,46765,28565,OK
34.85,TraderOne,Tick,161,70,91,-91,146900,147200,2335,46765,28565,OK
35.16,TraderOne,Tick,161,70,91,-91,146900,147300,2335,46765,28565,OK
35.63,TraderOne,Tick,161,70,91,-91,147100,147400,2335,46765,28565,OK
35.94,TraderOne,Tick,161,70,91,-91,147100,147000,2335,46765,55865,OK
36.1,TraderOne,Tick,161,70,91,-91,147100,147000,2335,46765,55865,OK
36.1,TraderOne,Tick,161,70,91,-91,147100,147000,2335,46765,55865,OK
36.41,TraderOne,Tick,161,70,91,-91,147100,147000,2335,46765,55865,OK
36.72,TraderOne,Tick,161,70,91,-91,147100,147000,2335,46765,55865,OK
36.88,TraderOne,Tick,161,70,91,-91,147100,147000,2335,46765,55865,OK
37.19,TraderOne,Tick,161,70,91,-91,147100,147000,2335,46765,55865,OK
37.5,TraderOne,Tick,161,70,91,-91,147100,147300,2335,46765,28565,OK
37.66,TraderOne,Tick,161,70,91,-91,147100,147300,2335,46765,28565,OK
37.82,TraderOne,Tick,161,70,91,-91,147100,147300,2335,46765,28565,OK
38.13,TraderOne,Tick,161,70,91,-91,147100,147300,2335,46765,28565,OK
38.44,TraderOne,Tick,161,70,91,-91,147100,147300,2335,46765,28565,OK
38.6,TraderOne,Tick,161,70,91,-91,147100,147300,2335,46765,28565,OK
38.91,TraderOne,Tick,161,70,91,-91,147100,147300,2335,46765,28565,OK
39.22,TraderOne,Tick,161,70,91,-91,147000,147300,2335,46765,28565,OK
39.38,TraderOne,Tick,161,70,91,-91,147700,147300,2335,46765,64965,OK
39.69,TraderOne,Tick,161,70,91,-91,147700,147300,2335,46765,64965,OK
40.0,TraderOne,Tick,161,70,91,-91,147700,147300,2335,46765,64965,OK
40.16,TraderOne,Tick,161,70,91,-91,147700,147300,2335,46765,64965,OK
40.63,TraderOne,Tick,161,80,81,-91,147900,147300,2187,1523913,67113,OK
40.63,TraderOne,Tick,161,80,81,-81,147900,147300,2187,49913,66113,OK
40.94,TraderOne,Tick,161,80,81,-81,147900,147300,2187,49913,66113,OK
41.1,TraderOne,Tick,161,80,81,-81,147900,147300,2187,49913,66113,OK
41.41,TraderOne,Tick,161,80,81,-81,147900,147300,2187,49913,66113,OK
41.88,TraderOne,Tick,161,80,81,-81,147900,147300,2187,49913,66113,OK
42.19,TraderOne,Tick,161,80,81,-81,147900,147200,2187,49913,66113,OK
42.19,TraderOne,Tick,161,88,73,-81,147600,147200,2069,1230831,67831,OK
42.5,TraderOne,Tick,161,88,73,-73,147600,147200,2069,51631,66231,OK
42.82,TraderOne,Tick,161,88,73,-73,147600,147200,2069,51631,66231,OK
42.97,TraderOne,Tick,161,88,73,-73,147600,147200,2069,51631,66231,OK
43.13,TraderOne,Tick,161,88,73,-73,147600,147200,2069,51631,66231,OK
43.44,TraderOne,Tick,161,88,73,-73,147600,147200,2069,51631,66231,OK
43.6,TraderOne,Tick,161,88,73,-73,147600,147200,2069,51631,66231,OK
43.91,TraderOne,Tick,161,88,73,-73,147600,147400,2069,51631,66231,OK
44.22,TraderOne,Tick,161,88,73,-73,147600,147400,2069,51631,66231,OK
44.53,TraderOne,Tick,161,88,73,-73,147600,147400,2069,51631,66231,OK
44.69,TraderOne,Tick,161,88,73,-73,147600,147400,2069,51631,66231,OK
45.16,TraderOne,Tick,161,88,73,-73,147700,147400,2069,51631,66231,OK
45.16,TraderOne,Tick,161,88,73,-73,147700,147400,2069,51631,66231,OK
45.32,TraderOne,Tick,161,88,73,-73,147700,147500,2069,51631,66231,OK
45.78,TraderOne,Tick,161,88,73,-73,147700,147500,2069,51631,66231,OK
45.94,TraderOne,Tick,161,88,73,-73,147700,147500,2069,51631,66231,OK
46.41,TraderOne,Tick,161,88,73,-73,147700,147500,2069,51631,66231,OK
46.41,TraderOne,Tick,161,88,73,-73,147700,147500,2069,51631,66231,OK
46.72,TraderOne,Tick,161,88,73,-73,147700,147500,2069,51631,66231,OK
47.03,TraderOne,Tick,161,88,73,-73,147700,147500,2069,51631,66231,OK
47.19,TraderOne,Tick,161,88,73,-73,147700,147500,2069,51631,66231,OK
47.66,TraderOne,Tick,161,88,73,-73,147700,147500,2069,51631,66231,OK
47.66,TraderOne,Tick,161,98,63,-73,147700,147500,1921,1526779,64379,OK
47.97,TraderOne,Tick,161,108,53,-53,147400,147500,2216,52484,47184,OK
48.13,TraderOne,Tick,161,108,53,-53,147400,147500,2216,52484,47184,OK
48.44,TraderOne,Tick,161,108,53,-53,147100,147500,2216,52484,41884,OK
48.75,TraderOne,Tick,161,108,53,-53,147100,147500,2216,52484,41884,OK
48.91,TraderOne,Tick,161,108,53,-53,147100,147500,2216,52484,41884,OK
49.22,TraderOne,Tick,161,108,53,-53,147100,147500,2216,52484,41884,OK
49.69,TraderOne,Tick,161,108,53,-53,147100,147500,2216,52484,41884,OK
49.69,TraderOne,Tick,161,108,53,-53,147100,147500,2216,52484,41884,OK
50.0,TraderOne,Tick,161,108,53,-53,147100,147500,2216,52484,41884,OK
50.32,TraderOne,Tick,161,108,53,-53,147100,147500,2216,52484,41884,OK
50.63,TraderOne,Tick,161,111,50,-53,147700,147500,2172,495628,63128,OK
50.63,TraderOne,Tick,161,111,50,-50,147700,147500,2172,53428,63428,OK
51.1,TraderOne,Tick,161,111,50,-50,147700,147500,2172,53428,63428,OK
51.1,TraderOne,Tick,161,111,50,-50,147700,147500,2172,53428,63428,OK
51.41,TraderOne,Tick,161,111,50,-50,147700,147500,2172,53428,63428,OK
51.72,TraderOne,Tick,161,111,50,-50,147700,147500,2172,53428,63428,OK
51.88,TraderOne,Tick,161,111,50,-50,147700,147300,2172,53428,63428,OK
52.19,TraderOne,Tick,161,111,50,-50,147700,147300,2172,53428,63428,OK
52.5,TraderOne,Tick,161,111,50,-50,147700,147300,2172,53428,63428,OK
52.82,TraderOne,Tick,161,111,50,-50,147700,147300,2172,53428,63428,OK
53.13,TraderOne,Tick,161,111,50,-50,147700,147300,2172,53428,63428,OK
53.28,TraderOne,Tick,161,111,50,-50,147700,147300,2172,53428,63428,OK
53.44,TraderOne,Tick,161,111,50,-50,147700,147300,2172,53428,63428,OK
53.6,TraderOne,Tick,161,111,50,-50,147700,147300,2172,53428,63428,OK
53.91,TraderOne,Tick,161,111,50,-50,147700,147300,2172,53428,63428,OK
54.22,TraderOne,Tick,161,121,40,-50,147900,147300,2024,1529576,64576,OK
54.53,TraderOne,Tick,161,121,40,-40,147900,147200,2024,57576,65576,OK
55.0,TraderOne,Tick,161,121,40,-40,147900,147200,2024,57576,65576,OK
55.16,TraderOne,Tick,161,121,40,-40,147900,147300,2024,57576,65576,OK
55.63,TraderOne,Tick,161,121,40,-40,147300,146900,2024,57576,65576,OK
55.78,TraderOne,Tick,161,121,40,-40,147100,146900,2024,57576,65576,OK
56.1,TraderOne,Tick,161,121,40,-40,147100,147100,2024,57576,57576,OK
56.1,TraderOne,Tick,161,121,40,-40,147100,147100,2024,57576,57576,OK
56.41,TraderOne,Tick,161,121,40,-40,147100,147100,2024,57576,57576,OK
56.72,TraderOne,Tick,161,121,40,-40,147100,147100,2024,57576,57576,OK
57.03,TraderOne,Tick,161,121,40,-40,147100,147100,2024,57576,57576,OK
57.35,TraderOne,Tick,161,131,30,-30,147100,146800,2318,59282,65282,OK
57.66,TraderOne,Tick,161,141,20,-20,147000,146800,2612,61388,65388,OK
57.66,TraderOne,Tick,161,151,10,-20,147000,146700,2906,1531094,66094,OK
57.97,TraderOne,Tick,161,161,0,0,146900,146600,3199,63901,63901,OK
58.44,TraderOne,Tick,161,171,-10,10,146900,146700,3493,65607,63607,OK
58.44,TraderOne,Tick,161,171,-10,10,146900,146700,3493,65607,63607,OK
58.6,TraderOne,Tick,161,191,-30,30,146900,146700,4081,67019,61019,OK
58.91,TraderOne,Tick,161,201,-40,40,146900,146700,4375,68725,60725,OK
59.22,TraderOne,Tick,161,211,-50,50,146800,146700,4669,69831,64831,OK
59.38,TraderOne,Tick,161,221,-60,50,146800,146500,4963,1537537,60537,OK
59.69,TraderOne,Tick,161,231,-70,70,146800,146500,5257,73243,59243,OK
60.16,TraderOne,Tick,161,241,-80,80,146800,146500,5551,74949,58949,OK
60.16,TraderOne,Tick,161,241,-80,80,146800,146700,5551,74949,66949,OK
60.63,TraderOne,Tick,161,251,-90,90,146800,146700,5845,75655,66655,OK
60.63,TraderOne,Tick,161,251,-90,90,146800,146700,5845,75655,66655,OK
60.94,TraderOne,Tick,161,251,-90,90,146800,146500,5845,75655,57655,OK
61.1,TraderOne,Tick,161,251,-90,90,146800,146500,5845,75655,57655,OK
61.41,TraderOne,Tick,161,251,-90,90,146800,146500,5845,75655,57655,OK
61.72,TraderOne,Tick,161,251,-90,90,146800,146500,5845,75655,57655,OK
61.88,TraderOne,Tick,161,251,-90,90,146800,146500,5845,75655,57655,OK
62.35,TraderOne,Tick,161,251,-90,90,146800,146500,5845,75655,57655,OK
62.35,TraderOne,Tick,161,251,-90,90,146800,146300,5845,75655,57655,OK
62.82,TraderOne,Tick,161,251,-90,90,146700,146300,5845,75655,57655,OK
62.82,TraderOne,Tick,161,251,-90,90,146700,146300,5845,75655,57655,OK
63.13,TraderOne,Tick,161,251,-90,90,146700,146300,5845,75655,57655,OK
63.6,TraderOne,Tick,161,251,-90,90,146700,146300,5845,75655,57655,OK
63.75,TraderOne,Tick,161,251,-90,90,146700,146300,5845,75655,57655,OK
64.22,TraderOne,Tick,161,251,-90,90,146700,146300,5845,75655,57655,OK
64.22,TraderOne,Tick,161,251,-90,90,146700,146300,5845,75655,57655,OK
64.53,TraderOne,Tick,161,251,-90,90,146700,146300,5845,75655,57655,OK
64.85,TraderOne,Tick,161,251,-90,90,146700,146300,5845,75655,57655,OK
64.85,TraderOne,Tick,161,251,-90,90,146700,146300,5845,75655,57655,OK
65.32,TraderOne,Tick,161,251,-90,90,146700,146900,5845,75655,93655,OK
65.63,TraderOne,Tick,161,251,-90,90,146700,146900,5845,75655,93655,OK
65.78,TraderOne,Tick,161,251,-90,90,146700,146900,5845,75655,93655,OK
66.1,TraderOne,Tick,161,251,-90,90,146600,146900,5845,75655,93655,OK
66.41,TraderOne,Tick,161,251,-90,90,146600,146900,5845,75655,93655,OK
66.41,TraderOne,Tick,161,251,-90,90,146600,146900,5845,75655,93655,OK
66.72,TraderOne,Tick,161,251,-90,90,147300,146900,5845,75655,57655,OK
66.88,TraderOne,Tick,161,251,-90,90,146500,146900,5845,75655,93655,OK
67.19,TraderOne,Tick,161,251,-90,90,146500,146900,5845,75655,93655,OK
67.5,TraderOne,Tick,161,251,-90,90,146500,146900,5845,75655,93655,OK
67.82,TraderOne,Tick,161,251,-90,90,146500,146900,5845,75655,93655,OK
67.97,TraderOne,Tick,161,251,-90,90,146500,146900,5845,75655,93655,OK
68.13,TraderOne,Tick,161,251,-90,90,146500,146900,5845,75655,93655,OK
68.44,TraderOne,Tick,161,251,-90,90,146500,146900,5845,75655,93655,OK
68.75,TraderOne,Tick,161,251,-90,90,146500,147200,5845,75655,93655,OK
69.07,TraderOne,Tick,161,251,-90,90,147500,147200,5845,75655,57655,OK
69.22,TraderOne,Tick,161,251,-90,90,147500,147200,5845,75655,57655,OK
69.38,TraderOne,Tick,161,251,-90,90,147500,147200,5845,75655,57655,OK
69.85,TraderOne,Tick,161,251,-90,90,147500,147300,5845,75655,57655,OK
69.85,TraderOne,Tick,161,251,-90,90,147500,147300,5845,75655,57655,OK
70.16,TraderOne,Tick,161,251,-90,90,147500,147300,5845,75655,57655,OK
70.47,TraderOne,Tick,161,251,-90,90,147500,147300,5845,75655,57655,OK
70.63,TraderOne,Tick,161,251,-90,90,147500,147300,5845,75655,57655,OK
70.94,TraderOne,Tick,171,251,-80,80,146500,147300,5698,77802,93802,OK
71.1,TraderOne,Tick,171,251,-80,80,146500,147300,5698,77802,93802,OK
71.41,TraderOne,Tick,171,251,-80,80,146500,147300,5698,77802,93802,OK
71.72,TraderOne,Tick,171,251,-80,80,146500,147300,5698,77802,93802,OK
71.88,TraderOne,Tick,171,251,-80,80,146500,147300,5698,77802,93802,OK
72.35,TraderOne,Tick,171,251,-80,80,146500,147300,5698,77802,93802,OK
72.35,TraderOne,Tick,171,251,-80,80,146500,147300,5698,77802,93802,OK
72.82,TraderOne,Tick,171,251,-80,80,147500,147300,5698,77802,61802,OK
72.82,TraderOne,Tick,171,251,-80,80,147600,147300,5698,77802,61802,OK
73.28,TraderOne,Tick,171,251,-80,80,147600,147300,5698,77802,61802,OK
73.44,TraderOne,Tick,171,251,-80,80,147600,147200,5698,77802,61802,OK
73.75,TraderOne,Tick,171,251,-80,80,147600,147200,5698,77802,61802,OK
74.07,TraderOne,Tick,171,251,-80,80,147600,147200,5698,77802,61802,OK
74.38,TraderOne,Tick,171,251,-80,80,147600,147200,5698,77802,61802,OK
74.38,TraderOne,Tick,171,251,-80,80,147600,147200,5698,77802,61802,OK
74.69,TraderOne,Tick,171,251,-80,80,147600,147200,5698,77802,61802,OK
75.0,TraderOne,Tick,171,251,-80,80,147600,147200,5698,77802,61802,OK
75.32,TraderOne,Tick,171,251,-80,80,147600,147400,5698,77802,61802,OK
75.63,TraderOne,Tick,171,251,-80,80,147600,147400,5698,77802,61802,OK
75.94,TraderOne,Tick,171,251,-80,80,147600,147400,5698,77802,61802,OK
75.94,TraderOne,Tick,171,251,-80,80,147600,147400,5698,77802,61802,OK
76.25,TraderOne,Tick,171,251,-80,80,147600,147400,5698,77802,61802,OK
76.41,TraderOne,Tick,171,251,-80,80,147600,147500,5698,77802,69802,OK
76.88,TraderOne,Tick,171,251,-80,80,147600,147600,5698,77802,77802,OK
76.88,TraderOne,Tick,171,251,-80,80,147600,147600,5698,77802,77802,OK
77.19,TraderOne,Tick,171,251,-80,80,147600,147600,5698,77802,77802,OK
77.35,TraderOne,Tick,171,251,-80,80,147600,147600,5698,77802,77802,OK
77.66,TraderOne,Tick,171,251,-80,80,147500,147600,5698,77802,85802,OK
77.97,TraderOne,Tick,171,251,-80,80,147500,147600,5698,77802,85802,OK
78.13,TraderOne,Tick,171,251,-80,80,147500,147600,5698,77802,85802,OK
78.44,TraderOne,Tick,171,251,-80,80,147500,147600,5698,77802,85802,OK
78.75,TraderOne,Tick,171,251,-80,80,147500,147600,5698,77802,85802,OK
78.91,TraderOne,Tick,171,251,-80,80,147500,147600,5698,77802,85802,OK
79.22,TraderOne,Tick,171,251,-80,80,147500,147600,5698,77802,85802,OK
79.53,TraderOne,Tick,171,251,-80,80,147500,147600,5698,77802,85802,OK
79.85,TraderOne,Tick,171,251,-80,80,147500,148200,5698,77802,93802,OK
80.16,TraderOne,Tick,171,251,-80,80,147600,148600,5698,77802,93802,OK
80.32,TraderOne,Tick,171,251,-80,80,147600,148400,5698,77802,93802,OK
80.63,TraderOne,Tick,181,251,-70,70,147900,148400,5994,81506,95506,OK
80.94,TraderOne,Tick,191,251,-60,60,147900,148400,6290,84210,96210,OK
80.94,TraderOne,Tick,201,251,-50,60,147900,148400,6586,-1395086,98914,OK
81.25,TraderOne,Tick,211,251,-40,40,147900,148200,6882,91618,99618,OK
81.72,TraderOne,Tick,221,251,-30,30,148000,148400,7178,93322,99322,OK
81.72,TraderOne,Tick,221,251,-30,30,148000,148400,7178,93322,99322,OK
82.03,TraderOne,Tick,241,251,-10,10,148000,148400,7770,100730,102730,OK
82.5,TraderOne,Tick,251,251,0,0,148000,148800,8066,104434,104434,OK
82.66,TraderOne,Tick,261,251,10,0,148400,148800,8362,-1379362,106638,OK
83.13,TraderOne,Tick,271,251,20,-20,148400,148800,8659,108341,104341,OK
83.13,TraderOne,Tick,271,251,20,-20,148400,148800,8659,108341,104341,OK
83.44,TraderOne,Tick,281,251,30,-30,148400,148800,8956,112044,106044,OK
83.6,TraderOne,Tick,291,251,40,-40,148400,148800,9253,115747,107747,OK
84.07,TraderOne,Tick,301,251,50,-50,148400,149000,9550,119450,109450,OK
84.22,TraderOne,Tick,301,251,50,-50,148400,149000,9550,119450,109450,OK
84.38,TraderOne,Tick,311,251,60,-60,148500,149000,9847,123153,111153,OK
84.85,TraderOne,Tick,321,251,70,-70,148600,149200,10144,125456,111456,OK
85.16,TraderOne,Tick,331,251,80,-80,148800,149200,10442,128158,112158,OK
85.16,TraderOne,Tick,331,251,80,-80,148800,149200,10442,128158,112158,OK
85.47,TraderOne,Tick,341,251,90,-90,148800,149200,10740,130860,112860,OK
85.94,TraderOne,Tick,341,251,90,-90,148800,149200,10740,130860,112860,OK
86.1,TraderOne,Tick,341,251,90,-90,148800,149600,10740,130860,112860,OK
